story_id,sent_uid,ntee_l9_ho,event_bnd,sentence
4,170,0.033751103070610126,0.0,"cried a shrill, shrill voice, and out of the blue the little bird without a name rose from the eagle's back, where he had lain hidden in the feathers."
9,413,0.05251873953688209,0.0,"The 'tulip breaking' virus, which many botanists have studied, spreads only through buds, not seeds, and so cultivating the most appealing varieties takes years."
4,191,0.05312711528253086,0.0,You shall stay in the earth till you die of hunger!'
9,405,0.0549694697875303,0.0,"Many early forms were prefixed with 'admiral', often combined with the growers' names."
9,408,0.05664026650533392,0.0,"Most of these varieties have now died out, though similar 'broken' tulips continue in the trade."
9,435,0.05687525035093518,1.0,"Although Mackay's book is a classic that many publishing houses continue reprinting today, his account is contested."
9,433,0.057641875761719995,0.0,"The mania finally ended, Mackay says, with individuals stuck with the bulbs they held at the end of the crash."
9,398,0.05910071358205593,1.0,"Tulip cultivation in the United Provinces is generally thought to have started in earnest around fifteen ninety-three, after the Flemish botanist Charles de l'Ecluse had taken up a post at the University of Leiden and established a botanical garden, which is famous as one of the oldest in the world."
9,425,0.05940290472098347,0.0,The speculative bubble burst.
4,168,0.060352489839451094,0.0,It is you who must be our king because no one can fly as high as you.'
9,402,0.06067977593074432,1.0,"They were classified in groups: one-colored tulips of red, yellow, or white were known as Couleren, but it was the multicolored Rosen (red or pink on white background), Violetten (purple or lilac on white background), and, to a lesser extent, the Bizarden (red, brown or purple on yellow background) that were the most popular."
9,411,0.0606945283317057,0.0,"When a bulb grows into the flower, the original bulb will disappear, but a clone bulb forms in its place, as do several buds."
9,401,0.06090301130240623,0.0,"The flower rapidly became a coveted luxury item and a status symbol, and a profusion of varieties followed."
6,310,0.06090711302804993,0.0,You could've put an elephant in here last time we did this.
9,412,0.06090890464244418,0.0,"Properly cultivated, these buds will become bulbs of their own."
9,428,0.061217462106065115,0.0,"That crowds of people often behave irrationally was the main thesis of the book, and tulip mania was one of the primary examples."
9,415,0.061359054380624174,1.0,"Tulips bloom in April and May for about a week, and the secondary buds appear shortly thereafter."
9,403,0.06146865893050904,0.0,"These spectacular and highly sought-after tulip bulbs would grow flowers with vivid colors, lines, and flames on the petals, as a result, it is now understood, of being infected with tulip-specific virus known as the 'Tulip breaking virus'."
8,388,0.06152298758673018,1.0,"The first, released in nineteen ninety-five, concluded that the reported recovered material in nineteen forty-seven was likely debris from a secret government program called Project Mogul, which involved high altitude balloons meant to detect sound waves generated by Soviet atomic bomb tests and ballistic missiles."
9,441,0.061701486046006344,1.0,"Despite these disagreements about whether the phenomenon technically constituted an economic bubble, the term 'tulip mania' is still often used metaphorically to refer to any large economic bubble, when asset prices deviate from intrinsic values."
9,409,0.062049743446525356,1.0,"Tulips grow from bulbs, and can be propagated through both seeds and buds."
5,226,0.062447401551847755,0.0,"The barber, who was a genial young man, grinned back at me and said that he would try his best."
4,179,0.06246894488128373,0.0,Then we can decide who should be the real king.'
9,404,0.06274096825773177,1.0,The Dutch Golden Age growers named their new varieties with exalted titles.
9,426,0.06333948634512292,0.0,"Some were left holding contracts to purchase tulips at prices now ten times greater than those on the open market, while others found themselves in possession of bulbs now worth a fraction of the price they had paid."
9,397,0.06340874211905825,1.0,"The tulip, introduced to Europe in the mid sixteenth century from the Ottoman Empire, became very popular in the United Provinces, which we now know as the Netherlands."
2,88,0.0636588957080403,0.0,"cried Aqua and because the water drops were all together, overcoming the brook was child's play."
6,270,0.06387771268864503,0.0,I went extra slowly since it's better to be safe than sorry.'
6,269,0.06406869807163632,0.0,"And then she added, 'Don't worry."
4,166,0.06410002046114839,0.0,This victory is in the bag and I am king!'
