story_id,sent_uid,ntee_l9_ho,event_bnd,sentence
6,284,0.12919855333522734,0.0,'What's wrong with being small?'
5,228,0.12787627841574653,0.0,"She whispered something into his ear that caused the barber to shake his head, like he was telling her, 'No'."
7,357,0.12249185191941571,0.0,Lucy allowed herself to enjoy the sense of achievement and belonging that she had not felt in a very long time.
7,354,0.12182189272888007,0.0,Lucy was in the heart of the song with the rest of the world slipping away.
2,74,0.12173068329473068,0.0,"Down they went, rolling over each other until with a patter and clatter and spatter they touched the ground, and all the people that the raindrops fell on cried, 'It's raining', and took out their umbrellas."
5,229,0.11697597299588444,1.0,"In response, the matron walked over to a little man sitting in an office chair that squeaked as it rolled around the floor and spoke to him."
6,254,0.11643308586557952,0.0,"It had taken Abby a while to find Sticky because he was clinging to the glass near the bottom, right next to the gravel."
6,294,0.1160022418914715,0.0,"Abby believed her mom's idea would not succeed, but then she had an idea of her own."
5,209,0.115937468795104,0.0,"He told me that it was not anything about Elvis's personality, but his wavy hair, and the way he moved his body."
2,82,0.11569365443746746,0.0,"It was just our tiny little water drops, who sprang on it by hundreds and thousands, and whirled it over and over."
2,68,0.11512958897084707,1.0,"Higher and higher they sailed, and though it was grand, Aqua and his friends were like fish out of water, so they grew quite dizzy."
5,232,0.11461359584789413,0.0,'Why not?' I cried desperately.
2,86,0.11428237369966279,0.0,"Aqua liked this pond where he could play all day, so he stayed a good while, sailing up and down, taking the ducks' backs for ships and the frogs for horses, but after a time he tired of the dull life, and he and his brothers floated under a bridge for a long distance, until they saw another brook tumbling down a hillside."
7,336,0.11398251580353233,1.0,"As the sisters entered the hall where the show was to take place, Jill filled with excitement while Lucy regretted that she had promised her mother she would participate in the show."
5,220,0.1119507265554025,0.0,"It was the new haircut, though, that I needed to complete my new look."
5,213,0.1113265861686601,0.0,"I was going to have my day in the sun, and all the way to town that was all I talked about."
7,349,0.11128048215384734,1.0,The crowd looked up at her and Lucy was ready to run when the first notes of the music sounded out and a sudden calm settled over her.
6,255,0.11106071141986505,1.0,"At school that day, Abby, encouraged by her teacher, wrote excitedly about the small and mysterious Mr. Sticky, who you could mistake for a piece of gravel."
6,271,0.11094987765496953,1.0,"Abby looked on all sides of the tank, but there was no sign of the water snail that she had discovered a couple of days ago."
7,322,0.11091927976971121,0.0,"'Haven't you reported it yet?' asked Jill, Lucy's older sister who was sitting in the passenger seat."
5,238,0.11078502419867844,0.0,"'I am not a baby,' I said, as I wiped the tears from my eyes."
6,277,0.11038147945748378,1.0,Abby was a bundle of nerves as she descended the stairs.
3,117,0.11031944556566543,0.0,sounded the match as she drew it out.
2,70,0.11015889095166208,0.0,"He became very red in the face, and began to sink lower and lower, until suddenly he went clear out of sight!"
2,61,0.10971600388992522,0.0,"Of the sky, little Aqua had always been afraid, but he decided to finally face his demons and suggested a solution involving the sun carrying him up to the sky would be ideal."
3,141,0.10951368712436549,1.0,"The girl decided to light the whole bundle of matches, in order to keep her grandmother there."
8,372,0.10933194663141524,0.0,"Over the next few years, the accounts he and others gave elevated Roswell from a forgotten incident to perhaps the most famous UFO case of all time."
5,234,0.1090812659552788,1.0,"Within a few minutes, it wasn't an Elvis haircut, but a short buzz cut that the barber had given me."
6,281,0.10835976274404734,0.0,Abby had a quick temper and she was angry as hell.
5,237,0.10821985493949132,0.0,"'I'm so sorry, baby,' he said, as I climbed out of his barber chair."
